,sentence,intent
2203,Add to my calendar the evening departure with colleagues,50
2204,Sunday,13
2205,Let me not forget that I have a teacher and parent conference on this Monday at 4 a.m.,50
2206,Is there a chance that rain in the corner will reduce the heat?,13
2207,Check my mailbox and tell me if I have a new mail.,44
2208,I want to listen to slow music.,45
2209,I have something important for today.,32
2210,You can order me a train ticket for tomorrow.,2
2211,I want to turn the audio and reboot.,20
2212,Can you remove your card information from your portfolio?,53
2213,Find a food store in the city that sells marinated traces,19
2214,Where to Buy Switch,12
2215,Olli needs coffee.,56
2216,What is inflation and how it relates to the economy?,12
2217,Include these colorful lights in your home.,18
2218,What is music,57
2219,Please make me a cappuccino.,56
2220,How much does the euro cost against the dollar?,10
2221,The next train to Sophia,42
2222,Remove everything from the menu.,53
2223,Please connect the local radio station with Latin music.,36
2224,Give me a mail in 10 minutes.,50
2225,The latest news about global warming,22
2226,Show me the weather in Warsaw,13
2227,It will rain on Saturday.,13
2228,Save all the information about my songs preferences,43
2229,Where is the place,49
2230,Turn off all the lights during the day.,40
2231,Create the God of Small Things,20
2232,Updates on Criticism,22
2233,Choose a rap music file,45
2234,List of events in the area.,6
2235,Prognosis of snowfall,13
2236,Find my wife.,17
2237,What is the weather in Katowice?,13
2238,I'm looking for a good movie for some suggestions.,55
2239,Turn off the light in the salon.,40
2240,Play Sholay,45
2241,Tell me what the word organism means.,26
2242,What are the new rock stations?,36
2243,Show news about migration,22
2244,Give the definition of the word.,26
2245,Dark the light,31
2246,Include the plug,24
2247,What is the situation on the road from Kamikova to Dajvikova,11
2248,Repeat recorded events,32
2249,Lights to pay,18
2250,Play OIO,45
2251,Write an email to my family with a message I love you,33
2252,Find foods near the house.,19
2253,Give me a review of the latest audio book.,20
2254,The next metro to the center.,42
2255,Open the train ticket.,2
2256,Keep this status on my social media account,47
2257,Please confirm the weather for the 13th month.,13
2258,The Tech Nine Warning,45
2259,Leave a negative opinion to ABC,47
2260,Please leave an open page with the presidential debate.,22
2261,What the weather will be this week?,13
2262,What's Happening in Football Today,22
2263,Remember I don’t like this music.,7
2264,Send an email to this new address.,33
2265,What is a song,57
2266,Remember to visit the dentist at 2 a.m.,50
2267,Make Me Coffee,56
2268,Make me a new list.,21
2269,Show the address of Janka,17
2270,What Remembrances,32
2271,What is the most important news in Poland?,22
2272,How many countries are north of Alaska,49
2273,Give me this audio book.,20
2274,Read the latest news about the world,22
2275,Alex tell me a joke.,25
2276,Will it be cloudy,13
2277,Remember the tomorrow meeting.,50
2278,The kids take me to the hole.,12
2279,I will have to drink coffee today at 7 a.m.,12
2280,What to Play in Multiplayer,55
2281,Remember me 30 minutes before I have a teleconference on Tuesday,50
2282,Latest News,22
2283,Do I have something planned for the first afternoon on Monday?,32
2284,Read the email sent from this contact.,44
2285,Start with the next podcast.,58
2286,Meet the next Friday.,50
2287,What is the train time today?,42
2288,What is the temperature in Google?,13
2289,Remove everything from my calendar.,30
2290,Please tell me what the word home means.,26
2291,Please plan all my visits to the doctor.,50
2292,Continue to remember lunch at the twelfth afternoon.,50
2293,I have to concentrate better olly I could not concentrate on a single task,12
2294,Start the audiobook,20
2295,Price,16
2296,Solution,39
2297,Please add my business meeting at 10 in the office with Jack,50
2298,Check the weather for Tuesday.,13
2299,I need an awakening for Sunday at eight in the morning or you can set it for me,48
2300,How to get in touch with Charles,17
2301,Who is singing,57
2302,What day is my birthday this year?,0
2303,increases the power of light hard to see here below,18
2304,At what hour the alarm is set.,23
2305,Help me make a list.,21
2306,Turn off the lights.,40
2307,Write to mail,33
2308,Please give me the apartment address.,49
2309,Play Top 10,45
2310,What is Jan Wron’s position?,17
2311,Remember me tomorrow at the 11th of the meeting at the 15th,50
2312,Tell me about the Middle East,49
2313,I want to play with you in monopoly.,51
2314,What is the value of the dollar against the pound?,10
2315,The price of the pound has fallen.,10
2316,"When I go home, please order a pizza.",16
2317,Play Classic Christmas Songs,45
2318,Order me a train ticket.,2
2319,The best way to make the indie clothes,9
2320,What is the meaning of the word calm,26
2321,Good Morning,46
2322,Prince had children.,49
2323,I need you to say this latest information but more loud.,14
2324,Definition of Beauty,12
2325,Where can I order output?,3
2326,Tell me a joke about the lawyers.,25
2327,Add an event for date and time with these people,50
2328,You know how to keep secrets.,12
2329,Please tell me the first day of the month.,0
2330,What is the exchange rate of the dollar per pound?,10
2331,Play songs by Beatles,45
2332,Play the last song from my favorite playlist.,45
2333,I love rock,43
2334,The Twenty-First is a holiday.,32
2335,How to Cook Cancer,9
2336,Give me a route to the police.,42
2337,What is the weather in the cave?,13
2338,How much does the dollar cost in a pound?,10
2339,Check information about someone.,49
2340,Dating,12
2341,Good night,5
2342,Olly Cancel Business Meeting on Wednesday,30
2343,Please play all the songs loud and adapt to the type of pop music.,45
2344,Make a romantic light.,1
2345,Remember me of my business meeting at thirty-five a.m.,50
2346,too loud,35
2347,News about the trump,22
2348,Please remove the list.,53
2349,What are the times of trains to Krakow for today,42
2350,Where is the nearest bar,19
2351,What is the average sea level here?,49
2352,How is the course between,11
2353,Add a sanah for me,45
2354,Current policy,12
2355,Unread mail,44
2356,Play with me in the game.,51
2357,Delete lunch with employees on Thursday,53
2358,Listen to Jazz in Sanah,45
2359,Play me a new podcast,58
2360,I have something in my calendar.,32
2361,Subscribe to Podcast Joe Rogana,58
2362,by Taylor Swift,45
2363,Please set an alarm that reminds you of the 15th Saturday.,48
2364,Increase the light in the bedroom.,18
2365,Hey Siri which is the hour,0
2366,May is doing it.,3
2367,What is planned this week,32
2368,Can you summarize the latest news?,22
2369,Add the car service to my list of things to do today,21
2370,This question has no sense.,12
2371,Add five to two.,39
2372,Write an email to work later.,33
2373,Please write this song.,43
2374,What is on my list,59
2375,Reduce the level of lighting in my home.,31
2376,Alexa doj food shopping to my list to do,21
2377,Can you give me time now?,0
2378,Can you find a podcast that appeared earlier today?,58
2379,I would like to hear any classics other than the bach and schubert.,45
2380,Search for local events in Mokote district,6
2381,if it is south in Lisbon which time is in Finland,38
2382,Can you direct me to the menu with the highest-rated Chinese food for the outcome nearby,16
2383,Will it be wind today?,13
2384,Please remind me of the hour.,50
2385,Incorporate the Wemo Nude,24
2386,Change the light to red.,1
2387,Can you scream my answer?,14
2388,What time is in London?,0
2389,Tell me about the celebrity.,12
2390,How deep is the ocean.,49
2391,I need to plan a meeting with Martin on Monday at nine in the morning.,50
2392,Remove the trip scheduled for July 4th,30
2393,Not scis,35
2394,Play the next episode,58
2395,Show me news,22
2396,Do I have a new message,44
2397,Show the noise settings,29
2398,What is the hour in New York,0
2399,What ingredients are needed to build up?,9
2400,Please find new TVN news twenty four,22
2401,What is the current temperature,13
2402,Meeting with Jan on Tuesday.,50
2403,smell,9
2404,Buying clothes,59
2405,"I want sushi, you can order me lunch.",16
2406,I like this,43
2407,What is the weather forecast for the weekend?,13
2408,What good I could do today.,12
2409,What I have to do today,12
2410,Can you give a good address?,19
2411,What is the casey affleck film?,49
2412,Give a joke,25
2413,The value of my shares has increased.,4
2414,Don’t talk for a moment.,46
2415,Give me the price of the acer stock at opening,4
2416,peaceful,43
2417,Reply every day to all emails received between twenty-two and seven in the morning.,33
2418,Remove the fruit from the list.,53
2419,What are the new news,22
2420,Remove current events from my calendar,30
2421,google music find me some sanah to listen,45
2422,Tell me what happened today.,12
2423,What is the definition of the buffet table,26
2424,Tell me the weather.,13
2425,Tell me the names on the list.,59
2426,Find the most valued recipe for omlet with four seeds,9
2427,Check how much I like my post.,27
2428,What I don’t like,12
2429,Tell me what my next events are.,32
2430,Minutes in Japan,0
2431,I got a mail from my mother.,44
2432,Olly switch to light to colored red,1
2433,Remove the wemo,8
2434,Remove the first event of the twenty-third of March two thousand seventeen,30
2435,Department complaint on food quality,47
2436,Remove My Christmas Holiday List,53
2437,Start the next section of the subcast imponderabilia,58
2438,You can set schedules for your devices and control them remotely using a mobile internet connection.,24
2439,add joannanovak mafia gmail com to contacts,15
2440,Tell me what I have on my list to do today.,59
2441,Is it sunny today?,13
2442,Add tomorrow dinner to your calendar.,50
2443,When the next train arrives in Rome,42
2444,What is the list of things I have to buy today?,59
2445,Find details about Alexandre Kossnevsky,49
2446,Tell me the cell phone number of Mary.,17
2447,Go to the next event in the calendar and delete it.,30
2448,How much does the ticket cost to the entertainment center?,6
2449,The light please.,18
2450,Enable the Dryer,34
2451,I want to listen to a local radio station.,36
2452,"Give the status, please.",11
2453,Play the song I like.,45
2454,Please play some music.,36
2455,What is the time in Sydney,0
2456,Please order me a train ticket to Atlanta.,2
2457,What time is in this city?,0
2458,Can you remove the event I’m going to this weekend from my calendar?,30
2459,Turn off the lights in the office.,40
2460,Give me the names of the stores in my area.,19
2461,Show me the nearest location.,53
2462,Recall me about food shopping on Sunday,50
2463,Is it rain tomorrow?,13
2464,Include some blues cubes research,45
2465,What is the exchange rate of the British pound to the US dollar?,10
2466,Playing Golf,51
2467,Classic rock,45
2468,Repeat this event.,50
2469,How it is at the court,13
2470,Remove my last list.,53
2471,Include a scratch letter,20
2472,Ask the Amazon Customer Service Office on Twitter when I can expect a refund,47
2473,March 5th is Jan's birthday please note this in the calendar,50
2474,Reduce the noise,35
2475,What is my most frequently played song?,57
2476,What alarms,23
2477,What is the date and time today?,0
2478,Send a tweet to the poor,47
2479,Show me the current Boston time.,0
2480,Play radio a hundred and three f. m. please,36
2481,Find the map,49
2482,Play the music I loved.,45
2483,Keep the status using the remaining records I have created in my notepad,47
2484,What meaning is life,12
2485,What is in the Election,22
2486,Do I have to give my job today?,32
2487,Reply to my email and thank you.,33
2488,Reply to the email received from Peter,33
2489,I've got the help of the shoes I bought in the last week.,47
2490,What are the latest news from the world?,22
2491,Open the train routes,42
2492,The exchange rate of the dollar to the euro,10
2493,The best pizza restaurant in the area.,19
2494,Remember me that my next meeting with my girlfriend will be on the next Sunday at eight a.m.,50
2495,Do you know a joke?,25
2496,Shell South Stock Exchange,4
2497,Please cancel your visit to the doctor on February 20th at 9 a.m.,30
2498,I would like to set a wake up for this Saturday at 10 a.m.,48
2499,Do I need to put my sun glasses on the court?,13
2500,Reduce lighting,31
2501,Please provide the definition of home.,26
2502,Order a trip there and back to the train on Sunday at 7 a.m. and return ticket on Sunday next week at 8 a.m.,2
2503,Can you give me time in Warsaw?,0
2504,Can we guess who it is?,51
2505,Will it rain,13
2506,Create an email to Ana start the content I want to see the car you have for sale we can determine the time of the meeting send,33
2507,Play Britney Spears,45
2508,Please play some children's songs.,36
2509,go to zenobius com,22
2510,What is the weather today,13
2511,Check the latest emails from my mother.,44
2512,Weather this weekend,13
2513,What is the exchange rate of the dollar?,10
2514,What is my last email,44
2515,My initiative is set at 6 a.m.,23
2516,How to make a cake from chicken,9
2517,Make a new playlist of the last songs.,21
2518,Open the game Snooker I want to play with you,51
2519,I want to order fried chicken with white sauce.,16
2520,Who is the singer?,57
2521,synonyms,26
2522,Go to Saigon Online,16
2523,How many calories the apple has,49
2524,Do I have to make a cottage when I go to the shop?,13
2525,I want to listen to Bollywood music.,45
2526,Give me the latest price of the company.,4
2527,Remove all planned events,30
2528,Send an email to my mother and find out what the weather forecast is for the next week.,33
2529,Remember the meeting from eight to twelve.,50
2530,Tell me about the Middle Ages War Machines,26
2531,Who is Bob Dylan?,49
2532,Can you set the prayer at the twelfth in the afternoon every Friday?,50
2533,Amazon Stock Price,4
2534,Alexa playlist disco polo,45
2535,What I have in the calendar for today,32
2536,Back to the previous podcast,58
2537,Add to the doctor's calendar at the third thirty afternoon of March 7th.,50
2538,Remove the list please.,53
2539,Do I have any lists for next week?,59
2540,Play a letter to m by Jem,45
2541,Open the LIFT,54
2542,I think it’s over for me or you can add it to my list.,21
2543,What is New Hamphire?,49
2544,Give me the mail code.,17
2545,What are the lists,59
2546,All the alarms set for today.,23
2547,Can you order me a train ticket to Warsaw tomorrow with any train?,2
2548,Show me my latest mail.,44
2549,A great drama that recently appeared in the movies.,6
2550,Time to light the kitchen,31
2551,Hey google tell me what the white house is,26
2552,or fall,13
2553,Women,12
2554,Remember to turn off the light in 10 minutes.,50
2555,What Now,12
2556,Radio ZET,36
2557,Take attention to the client’s complaint cell and take advantage of the option.,47
2558,Show the location of the store,19
2559,Set a reminder of the gym every Friday at eight in the morning,50
2560,Where was the Blessed Blessed,49
2561,Take care of the safety system at home.,12
2562,Add to the calendar meeting with the Agnieszka on Monday at 10 a.m.,50
2563,Update my shoe list.,21
2564,How old is the white barrel?,49
2565,I want this alarm to be permanently removed.,52
2566,Leave my playlist,45
2567,Recall my Christmas meetings.,50
2568,Replace furniture with electronics,21
2569,What is the hour in New York,0
2570,What is the program today,32
2571,Meeting with Novak,50
2572,Pizza Hut has a supply.,3
2573,Please disable the pressure.,14
2574,Call for acceptance,30
2575,My Mother's Birthday Tomorrow,50
2576,What teams are playing nearby?,6
2577,This is my sister's cell number.,17
2578,When my food is here,3
2579,Olly Make Coffee,56
2580,When is my next visit and with whom I contact to change the date,32
2581,Solve this mathematical task.,39
2582,Careers in Mazowszu,6
2583,Start the rubber quickly.,34
2584,Turn off the light in the bedroom.,40
2585,What is the hour,0
2586,Please tell me how to do my daughter's mathematics in eighth class,12
2587,Remove all events from the calendar.,30
2588,What events are happening today,6
2589,Order a taxi for shelley hennessey to the gate number four on arrival flight five four three one at the third twenty one on Friday,54
2590,Send a mail to Tom for work,33
2591,What movies are in the movies now?,55
2592,Please include a hundred one and three f. m.,36
2593,something,26
2594,Can you play the radio?,36
2595,Brighten the light at home,31
2596,I have to start a list of names.,21
2597,Email to Matteo about the content project finished please send me an invoice,33
2598,I got a mail from Simon.,44
2599,What’s happening in Europe,22
2600,Is there any show in the city I can go to in the evening?,6
2601,Show the last email from Jan,44
2602,Tomorrow is the Sunny Day of Truth,13
2603,Who is a singer,57
2604,Who is the artist who sings this song?,57
2605,Order me a taxi on the first afternoon.,54
2606,What is in my calendar this month?,32
2607,Can you change my time zone to a central time zone?,38
2608,Five plus five,39
2609,Include the plug,24
2610,What are my plans for today,32
2611,Add a conference to the calendar on Thursday.,50
2612,Check my box if there is any mail from the last hour.,44
2613,e-mail to me on Thursday please create an event for our meeting based on the date given in this email,50
2614,Remind me of tomorrow at the fourth.,50
2615,Olly or this new Chinese restaurant brings home,3
2616,Can you recommend where you can have fun in New York City?,6
2617,Do I have something on the list?,59
2618,Weather forecast for this week,13
2619,Read my list to do,59
2620,There are culinary workshops this weekend.,32
2621,Turn off the light in this room.,40
2622,Are there any events in the library this week?,6
2623,What is the value of the dollar compared to the yen?,10
2624,Change the light in the room from green to violet,1
2625,Remember that in the future.,50
2626,Continue playing where I ended.,20
2627,Alarm at eight in the morning.,48
2628,Check the error from the last hour.,44
2629,I need to know where to buy the wings in the radio.,19
2630,increased noise,14
2631,I have to take my clothes out of the washroom today.,50
2632,Order a fee starting here.,54
2633,Alexa who is Marcin Bosak,49
2634,Delete the wemo,8
2635,Time Difference between Poland and the United States,38
2636,Play the latest podcast,58
2637,State of movement please,11
2638,Clean my calendar.,30
2639,Alarm to 12th.,48
2640,I want to drink coffee.,56
2641,I want the email to be sent to my new email address a. b. c. mafia gmail point com,33
2642,I need a taxi now.,54
2643,Current order status,3
2644,Order a snack for dinner,16
2645,I have an alarm for tomorrow.,23
2646,Speak as loud as you can.,14
2647,What is the most populated country in the world,49
2648,Have you had a good day,12
2649,Disconnect the garage light,40
2650,Tell me about,50
2651,Show me the weather yesterday.,13
2652,Tell me which shares gave the biggest profits on the NASDAQ stock today,4
2653,What is the address for the event planned for January 1st?,32
2654,Play a new song by Rihanna,45
2655,Please play Jazz Sanah,45
2656,Remove this,30
2657,Repeat the same song 10 times.,28
2658,Remove the shopping list,53
2659,Send the email address to my new email.,33
2660,Remove my list of old English songs from the playlist,53
2661,Please put the light in this room.,18
2662,The story of the Titanic film.,12
2663,I want to say something about this song.,43
2664,Olli I want to listen but jazz in performing sanah,45
2665,Shower robots must be connected to electricity.,34
2666,I want a ticket to the train from the bulk to the bulk.,2
2667,Show my last mail.,44
2668,What is the time in Greenwich?,0
2669,Hockey,6
2670,Remove the Smart Nest,8
2671,Please note the following defect.,47
2672,What is the situation on the Square of the Three Cross?,11
2673,Include the wind wire,24
2674,How expensive are Google shares?,4
2675,I would like to order output.,16
2676,Show me the weather for tomorrow.,13
2677,Play Bohemian raphsody for me,45
2678,which river is the longest on earth,49
2679,Play Billie Jean as the next,45
2680,Read me today's sports titles,22
2681,What is the temperature outside?,13
2682,Order a taxi,54
2683,How many reminders I have,32
2684,Turn off the lamp,40
2685,Search for jokes on the web,25
2686,Recommendation of the reception of children in the working days at the 15th,50
2687,Remember the fifth meeting.,50
2688,What is the most popular podcast,58
2689,What to do in New York City,6
2690,Remember me my plans for Tuesday morning.,50
2691,Is it snow now,13
2692,Include one hundred and three f. m.,36
2693,Write a tweet complaining about,47
2694,I need to write a bad review about Yahoo,47
2695,Can you tell me the date today?,0
2696,Route to Cayenne in Cayenne,42
2697,send a complaint to the customer service of this company,47
2698,Write a tweet I am sick today,47
2699,What Happens Here,22
2700,What's Happening to President Duda,22
2701,Googling Michael Jackson,49
2702,News from Google,22
2703,What time is in,0
2704,Please show me on which day this event is set.,32
2705,Does this person have sent a mail?,44
2706,What clothing shop can you recommend here?,19
2707,Book a train ticket for me today.,2
2708,What alarms are,23
2709,Alarm at 6 a.m.,48
2710,Send a reply to this email.,33
2711,Alarm in time.,48
2712,Lights up to 50 percent in the basement,31
2713,Buy the cheapest tofu in a Chinese restaurant,16
2714,How to make clopsy,9
2715,I have his number.,17
2716,Play my favorite song Sanah,45
2717,Google searches how to book a train ticket,2
2718,I want you to remove this post from the list.,53
2719,Try to take these steps to choose the right answer.,49
2720,air pollution,22
2721,Olly continues to remind my meeting today,50
2722,Play Rock,36
2723,Open the notes,53
2724,I am not at work on the day of memory.,32
2725,What ingredients are needed to make French toasts,9
2726,What news you have today,22
2727,What is my daughter's phone number?,17
2728,How your life has changed thanks to me,12
2729,Clean up the upcoming event,30
2730,Please include jazz music.,45
2731,Check out the latest news on Twenty Four.,22
2732,Change my plans Remove my next event,30
2733,Show today news from TVN,22
2734,Create a new list please.,21
2735,What are my plans for today,32
2736,What is the hour in Singapore when we are fifth afternoon,38
2737,What’s happening in the area,6
2738,which bar for athletes with vegetarian cuisine is the best in the hole,19
2739,Show the Difference in Planets,12
2740,Start my list of folk songs immediately after this song,45
2741,Remove all meetings for today,30
2742,"I hate this song, don't play it anymore.",7
2743,The time when the meeting begins,32
2744,Reply to tk maxx,47
2745,Have I set a reminder for the meeting tomorrow at 5 a.m.,32
2746,The day of the week is twenty-sixth.,0
2747,The Main Political News of the Day,22
2748,Current mail,44
2749,Go to the next section of the Podcast Criminatorium,58
2750,Please call me to the bank on Thursday.,50
2751,Please change colour.,1
2752,Do I need a snowboard?,13
2753,Currency exchange rate,10
2754,Activate the Drying Work,34
2755,Awakening at 5am.,48
2756,Do you know a good joke?,25
2757,Give me an update of the t.v.,22
2758,You need to enable the radio.,36
2759,Do I have bananas on my shopping list?,59
2760,Open my clothes and order me a car to take me to the airport.,54
2761,Meet Jack on Tuesday.,50
2762,Can you remove the alarm?,52
2763,Give this,58
2764,Confirm if the color is blue.,1
2765,The Candy Crush,51
2766,Set a repeated event in my calendar,50
2767,Remember which day this event will take place.,50
2768,Write this message to the group of employees.,33
2769,Add the event to the calendar,50
2770,Make a different color of light.,1
2771,Order me a train ticket.,2
2772,Add a new mail.,15
2773,Please add the concert to your calendar.,50
2774,convert two thousand three hundred thirty from g. m. t. plus four hundred thirty into g. m. t. two hundred,38
2775,Reply to mail.,33
2776,Can I get out without a suit?,13
2777,Remove from the event calendar for this week,30
2778,Enter a radio station.,36
2779,Can you order me a meal?,16
2780,Terrorist activity,22
2781,What a good recipe for tacos?,9
2782,What are the last emails in my receiver box please,44
2783,Order sushi for dinner.,16
2784,What is the time in Florida?,0
2785,Remove the alarm,52
2786,Polish rock,45
2787,Can you remind me of the meeting today at 4 a.m.,50
2788,Remove Anna from the list of weddings,53
2789,falling in the catowns.,13
2790,I am free on Saturday.,32
2791,What Roman has to say about marriage today at the meeting,32
2792,where my alarm is set,23
2793,How many languages they know,12
2794,What is talking about in Africa,22
2795,Remember to send a presentation today at the 13th.,50
2796,Show what time is in Boston.,0
2797,Remember the next event.,50
2798,Download the latest podcast reason,58
2799,Check the Gmail box.,44
2800,I have an answer from Caroline about the investigation yesterday.,44
2801,Olly What Movies Play in Carmike Cinemas,55
2802,I no longer need it.,53
2803,Listen to playlist,45
2804,Train time from location,42
2805,Please turn off the middle light in the room.,40
2806,Tell me the name of the team.,57
2807,Give me the definition of the shot.,26
2808,Will the sun shine in the boat this weekend?,13
2809,Tell me about the phone to my mother at the fifth.,50
2810,A complaint about holes on the road.,47
2811,Information about deaths in fact,22
2812,Remove all events for today,30
2813,Please give me time and date.,0
2814,The train at the fourth and thirty will be delayed.,42
2815,How much does the Canadian dollar value to the American dollar?,10
2816,Save this email to my contacts for future use,15
2817,Read the news about Moravian Matheus.,22
2818,Artists like the Beatles,57
2819,How long before I get my food,3
2820,Change the radio station,36
2821,I got any answers from Jan.,44
2822,Find all emails from Magda with the word vacation in the title,44
2823,What is the weather or the sky is dark?,13
2824,Anything appeared in the receiver box.,44
2825,Go to the next section.,58
2826,What events are planned today in my neighborhood,6
2827,Get the latest news from my story.,27
2828,Show me the moisture of the air today in the center,13
2829,Who Wins the Presidential Election,12
2830,Jan has sent me a new mail.,44
2831,What is the fifth day?,0
2832,The alarm,48
2833,Showing events in Chicago,6
2834,Is there something I should be aware of?,32
2835,What events should be seen in my area?,6
2836,What is my next alarm?,23
2837,Who is the 16th President?,49
2838,Together take control of the world.,12
2839,Lights in the salon.,31
2840,Make me a playlist of acid drinkers,45
2841,Where can I get a good burger in a radius of five kilometers,19
2842,Transit,11
2843,The last message,22
2844,Remove this event,30
2845,What I can eat,3
2846,Show what ingredients are needed.,9
2847,The title of the film with Leonardo DiCaprio,12
2848,Remove stand-up on Friday at 10 a.m.,30
2849,What is the day today,0
2850,Will it rain today?,13
2851,Delete the light,40
2852,Play new pop music,45
2853,What is popular,22
2854,Find the name of Justin Steckowski's album,57
2855,Brighten my light in the bedroom.,18
2856,I want to listen to this song.,45
2857,The Esco,36
2858,Start playing dubstep,45
2859,Siri describes it.,26
2860,Set the bell,29
2861,What kind of song that speaks,57
2862,Delete the light,40
2863,Do I have a meeting on Friday afternoon?,32
2864,How much do I buy dollars?,10
2865,Remove My Meeting with Tadeus,30
2866,Do I have a meeting scheduled for the next weekend?,32
2867,Where is Wrocław?,49
2868,Can we play in the wire?,51
2869,How many uninterrupted emails,44
2870,EMAIL,44
2871,What is the definition of excess,26
2872,Renew Post,44
2873,Explain your speech algorithm,12
2874,Subcut speakers,14
2875,Write my music choices.,43
2876,Avoid the complaint of a weak waste system,47
2877,Play all metal songs,45
2878,Tell me about my wife's birthday in advance.,50
2879,Play Sanah,45
2880,Turn off the left light.,40
2881,Please remove the post and from my list.,53
2882,Please say ccc that I return damaged shoes,47
2883,Which countries border with the Indians,49
2884,Get all my songs from Madonna,45
2885,Tell me when new news about Donald Trump will come,22
2886,I need to turn off the light in my bedroom.,40
2887,I have a list of things to do for today,59
2888,Check the word economy in the dictionary.,26
2889,What the hair consists of,49
2890,Turn off the light in my room.,40
2891,Disconnect power,8
2892,What is Indranagar,49
2893,Repeat audio,20
2894,I want the light in my house to be pink.,1
2895,The last time I contacted Jan.,17
2896,I want coffee,56
2897,What Weather Information,13
2898,How many oceans are in the world,49
2899,How many songs the first ten had Katy Perry last year,12
2900,Play the next song in 5 minutes.,45
2901,I will not exchange oil in my car today.,53
2902,What is the name of the song that is flying?,57
2903,Call the Saigon,16
2904,Remove a list of things to do on holiday.,53
2905,What is the weather forecast for tomorrow?,13
2906,What a square element with nine-seven,39
2907,Open new emails,44
2908,Alarm on Friday afternoon,48
2909,Play your favorite music,45
2910,Look quiet for thirty minutes.,46
2911,This tweet to comcast if I had the internet and the phone from you as I can contact you,47
2912,Please contact the customer service campanile.,47
2913,Start with my husband.,33
2914,Are there any reminders?,32
2915,Please play music.,45
2916,What is the title of the song that is flying?,57
2917,Mom wants to get a weekly weather forecast,33
2918,Write an email to Paul with a reminder.,33
2919,I have a meeting tomorrow at lunch time.,32
2920,Please book your next taxi at 9 a.m.,54
2921,How Possible,12
2922,Play Music Radio,36
2923,Add to the calendar lunch of March 15th from the twelfth to the thirteen,50
2924,The longest river in the world,49
2925,What is on this list,59
2926,Google needs one train ticket to Munich or you can buy it,2
2927,which day is the longest in the year,49
2928,When is my next meeting,32
2929,Where is my meeting today at 12 a.m.,32
2930,Remember me when some Marvel shows will return to Netflix,12
2931,Write a tweet to the flight that my last flight from Chicago to London was delayed,47
2932,Define the word carion.,26
2933,You can call a taxi.,54
2934,What's Happening to Kashmir,22
2935,Take a pizza from viva la pizza.,16
2936,What is the difference between the lagos and the new york?,38
2937,What is the difference between Hong Kong and New York?,38
2938,Tell me about today’s meeting.,22
2939,Find the current Microsoft stock prices.,4
2940,I need a little coffee,56
2941,Set the alarm for tomorrow at 10 a.m. and mark it as a meeting.,48
2942,Play Hip Hop Songs,45
2943,What are today’s headlines,22
2944,Set the speaker to 65 percent.,14
2945,What is the exchange rate between the Indian Rupee and the American Dollar?,10
2946,Call the customer service line via the phone for direct response.,47
2947,How long to cook chicken?,9
2948,What color should I paint my nails?,12
2949,Olly Play a Good Movie on My TV,36
2950,Reply to my last email,33
2951,Have I recently received a mail?,44
2952,Tell me every day at 4 a.m. that I should drink green tea.,50
2953,Top News on International Women's Day,22
2954,Please light the light.,31
2955,Remind me of receiving my sister's birthday tomorrow an hour before it starts,50
2956,Show me news from TVN,22
2957,Registrate an event or ticket,2
2958,I need a taxi home.,54
2959,Show me the noise setting.,29
2960,The next basketball game begins.,32
2961,Make a new list of dog races,21
2962,Please set my alarm.,48
2963,What are the latest news in the newspaper,22
2964,Delay the reception to Thursday,30
2965,What is my meeting on Friday,32
2966,Remember the meeting on March 16th.,50
2967,The stock has dropped or increased today.,4
2968,When is Shakira’s birthday,49
2969,send email,33
2970,Make me coffee now.,56
2971,Playing rap,45
2972,What is the current exchange rate of yen to euro,10
2973,Normal temperature,13
2974,Frequency of Radio,36
2975,Stay lunch for the next Tuesday in the afternoon with soya in ale burger,50
2976,Connect this,21
2977,I just added Robert's news something new there.,22
2978,How much is the twenty-third birthday,0
2979,I need coffee now.,56
2980,Please remove this list.,53
2981,Tomorrow morning all meetings.,50
2982,I have an alarm for today.,23
2983,The latest news about Hurricane Katrina,22
2984,Remove the shopping list,53
2985,Give me the latest news twenty four,22
2986,Silence,46
2987,Remember me on Tuesday at 7 a.m. on meeting with Mrs. Bolska on Wednesday at 8 a.m.,50
2988,How much is the agnostic growth,49
2989,Please remind me of my visit to the doctor on July 13th,50
2990,Write an email to Jan and No,33
2991,Show me what is on the list.,59
2992,Please switch to open f. m.,36
2993,Catch a taxi,54
2994,Send an email to Raphael,33
2995,Order Chinese with imports,16
2996,Please take me to the election newspaper.,22
2997,Definition of Cock,26
2998,I need to update my calendar on all the events of the Green Holidays in March,50
2999,How many of them are important,12
3000,Love means sex.,12
3001,change,58
3002,What will the weather be tomorrow?,13
3003,What reminders I have today?,32
3004,I call you to play.,51
3005,Play Podcast Criminatorium,58
3006,Open and set the alarm at 10 a.m.,48
3007,Remove my meeting tomorrow at eight.,30
3008,note the date of the first February two thousand seven and set a notification on the seventh that I have a meeting with Mr.,50
3009,What Happens Here,22
3010,Where can I find this song?,57
3011,Is it cold there?,13
3012,What You Know About Mary,17
3013,I am free on Monday at 12 a.m.,32
3014,Dry salon,34
3015,What are the freshest news,22
3016,Play all rock songs,45
3017,Download the latest podcast morning show,58
3018,Create a holiday list,21
3019,Please turn the light into my house.,41
3020,Remove all my events for tomorrow.,30
3021,It was a crazy day at work.,12
